ticker,signal_mode,days,rank,ob_value,os_value,stop_ticks,take_profit_ticks,trailing_stop_ticks,breakeven_ticks,atr_ratio_min,max_hold_minutes,n_trades,win_rate,total_pnl,profit_factor,max_drawdown,avg_hold_candles,exit_stop_loss,exit_take_profit,exit_trailing_stop,exit_breakeven_stop,exit_timeout,exit_eod_close,exit_other
NLMK,mean_reversion,60,9,80.0,10.0,63,252,0,32,0.7,150,66,57.6,44.63,1.38,43.73,29.2,0,0,0,3,63,0,0
NLMK,mean_reversion,60,10,80.0,10.0,63,126,0,0,0.7,150,66,60.6,43.24,1.35,49.72,29.9,0,1,0,0,65,0,0
NVTK,mean_reversion,60,0,80.0,20.0,60,180,42,51,0.7,,137,17.5,-297.62,0.14,297.62,7.2,0,0,130,0,7,0,0
NVTK,mean_reversion,60,1,75.0,15.0,84,336,0,0,0.5,150,112,46.4,31.14,1.09,63.27,25.7,29,2,0,0,81,0,0
NVTK,mean_reversion,60,2,75.0,15.0,84,252,0,0,0.5,150,113,46.0,25.39,1.07,63.27,25.3,29,4,0,0,80,0,0
NVTK,mean_reversion,60,3,75.0,15.0,84,336,0,0,0.0,150,118,44.1,18.96,1.05,62.95,25.9,29,2,0,0,87,0,0
NVTK,mean_reversion,60,4,75.0,15.0,84,252,0,0,0.0,150,119,43.7,13.21,1.04,62.95,25.5,29,4,0,0,86,0,0
NVTK,mean_reversion,60,5,75.0,15.0,84,252,0,42,0.5,150,117,34.2,1.25,1.0,70.87,20.4,23,3,0,36,55,0,0
NVTK,mean_reversion,60,6,75.0,15.0,84,336,0,0,0.7,150,101,41.6,0.67,1.0,65.7,25.1,29,2,0,0,70,0,0
NVTK,mean_reversion,60,7,80.0,10.0,84,252,0,71,0.0,150,83,43.4,0.43,1.0,81.48,23.0,18,2,0,11,52,0,0
NVTK,mean_reversion,60,8,75.0,15.0,84,336,0,42,0.5,150,116,34.5,-3.81,0.99,71.22,20.8,23,1,0,35,57,0,0
